,0
man,1202
say,1120
woman,722
police,696
year,499
wa,407
new,397
school,362
people,302
sex,279
old,267
arrested,247
child,242
student,240
ha,216
gun,211
car,209
stop,194
black,188
home,187
000,186
day,185
white,185
claim,181
world,177
want,173
dog,169
ban,168
state,167
officer,164
make,163
cop,161
report,160
court,155
house,153
drug,152
accused,151
texas,149
men,145
florida,144
study,144
city,141
million,137
shooting,133
family,131
death,130
game,130
teen,130
time,130
like,128
tell,127
kid,127
human,125
parent,125
wife,125
video,124
law,122
driver,120
shot,120
face,120
high,120
don,118
american,117
boy,117
using,116
accidentally,116
girl,115
just,114
news,114
free,113
right,112
pay,107
change,106
gay,106
baby,106
life,106
teacher,105
fight,103
anti,102
use,102
prison,102
china,102
official,102
facebook,101
porn,100
son,100
charged,100
judge,99
dy,98
california,98
jail,98
sue,97
couple,95
church,95
coronavirus,94
restaurant,93
russian,92
help,92
10,91
shoot,90
