,0
year,1587
man,855
old,836
woman,689
ha,659
new,627
dog,617
000,581
wa,556
school,494
life,470
boy,460
help,453
girl,448
day,435
million,412
child,410
people,400
save,392
free,387
world,357
family,353
time,353
homeless,341
home,337
student,330
police,291
make,274
say,270
ban,261
cancer,260
just,257
kid,254
100,243
pay,240
teen,235
car,230
baby,225
state,215
10,214
saved,214
donates,189
high,188
food,187
animal,180
lost,178
officer,176
plastic,176
cat,174
city,173
rescue,171
hospital,169
money,168
victim,167
buy,166
hour,163
college,163
raise,161
muslim,160
job,155
india,152
month,151
country,150
post,147
house,147
son,146
mom,142
owner,142
week,141
win,140
friend,139
couple,138
use,136
mother,136
community,136
law,135
rescued,134
local,134
tree,134
shelter,134
news,133
plant,132
20,132
water,132
american,131
california,128
work,127
good,126
gay,125
trump,122
turn,122
company,122
offer,122
employee,122
dad,122
father,121
away,118
change,117
end,115
young,115
